,Title,Snippet,Date,SourceIds,label,Year,Month,Day
20,Fire crews spend hours tackling a huge blaze at Niramax in ...,"18 Sept 2017 - Two separate fires broke out at the Niramax site on Sunday afternoon, with one starting on a conveyor belt and the other in a pile of ...",2017-09-18,"['3454c958-5809-45fe-8d77-a4cf21eceda4', '3f27f141-c6bf-4cc3-b816-711e24f073df']",Label: 1,2017.0,9.0,18.0
21,english law - The Institute of International Shipping & Trade Law ...,,,"['7d9aeb68-29b0-4108-bcb8-2890ec58f6bf', '594986d4-8479-4253-954f-e9cd8ef30032']","As there is no relevant information in the snippet to analyze the risk, the label cannot be generated. Please provide me with more information or examples.",,,
22,english law - The Institute of International Shipping & Trade Law ...,,,"['7d9aeb68-29b0-4108-bcb8-2890ec58f6bf', '594986d4-8479-4253-954f-e9cd8ef30032']","I'm sorry, I cannot provide a label without a snippet of text related to a company. Please provide me with an example with a snippet of text.",,,
23,Waste firm Niramax fined £16000 for storing too many tyres ...,"15 Jan 2018 - Waste firm Niramax has been slapped with a £16,000 fine after admitting it ... arguments that it was negligent, and fined the firm £13,600.",2018-01-15,"['818e914d-d8b4-4b2d-b030-b5bc2d0fe3ef', '9e70e8e9-2bbc-4ca3-be7a-ce454077a150']",1,2018.0,1.0,15.0
24,Waste firm Niramax fined £16000 for storing too many tyres ...,"15 Jan 2018 - Waste firm Niramax has been slapped with a £16,000 fine after admitting it ... arguments that it was negligent, and fined the firm £13,600.",2018-01-15,"['818e914d-d8b4-4b2d-b030-b5bc2d0fe3ef', '9e70e8e9-2bbc-4ca3-be7a-ce454077a150']",1,2018.0,1.0,15.0
25,Failed landfill tax-fraud probe cost more than £3m,"20 Oct 2021 - A failed investigation into alleged tax fraud at landfill sites cost ... Waste management firm Niramax, which has offices in Hartlepool and ...",2021-10-20,"['93dbedc7-5674-448b-88dc-32fe5cfd8e94', '514c4ac0-e815-4701-9e6a-d9aca20929f8']",1,2021.0,10.0,20.0
26,Failed landfill tax-fraud probe cost more than £3m,"20 Oct 2021 - A failed investigation into alleged tax fraud at landfill sites cost ... Waste management firm Niramax, which has offices in Hartlepool and ...",2021-10-20,"['93dbedc7-5674-448b-88dc-32fe5cfd8e94', '514c4ac0-e815-4701-9e6a-d9aca20929f8']",1,2021.0,10.0,20.0
27,Murder accused Niramax boss Neil Elliott 'lives in one of ...,Niramax boss Neil Elliott cam from humble beginnings to live in one of the ... Steven Ball helps to secure acquittal of businessman on fraud charges.,,"['a0563686-a8e8-4a40-bd9f-f8b3aa425132', 'da5a439c-d264-4902-941f-7555a32095f1']",Label: 1,,,
28,Murder accused Niramax boss Neil Elliott 'lives in one of ...,Niramax boss Neil Elliott cam from humble beginnings to live in one of the ... Steven Ball helps to secure acquittal of businessman on fraud charges.,,"['a0563686-a8e8-4a40-bd9f-f8b3aa425132', 'da5a439c-d264-4902-941f-7555a32095f1']",Label: 1,,,
29,Insurer loses appeal against waste firm fire payout,"27 Apr 2021 - It was a mistake by one of Zurich's staff, ""not a failure by Niramax to disclose matters relevant to its attitude to risk management, which was ...",2021-04-27,"['a53fca5e-e132-477f-a949-36618e2da8d7', '346421ac-134d-420a-b488-50493b6aa6c3']",0,2021.0,4.0,27.0
30,Insurer loses appeal against waste firm fire payout,"27 Apr 2021 - It was a mistake by one of Zurich's staff, ""not a failure by Niramax to disclose matters relevant to its attitude to risk management, which was ...",2021-04-27,"['a53fca5e-e132-477f-a949-36618e2da8d7', '346421ac-134d-420a-b488-50493b6aa6c3']",0,2021.0,4.0,27.0
31,Waste Industry: Criminality and Regulation - Hansard,"1 Feb 2022 - They are hardened criminals at the heart of the criminal underworld. He mentioned Niramax, which we have already heard about. The majority ...",2022-02-01,"['02aea6fa-8eac-44c2-8e75-befb762f93cc', 'bd039be2-149a-407f-b930-5fdc54021b86']",1,2022.0,2.0,1.0
32,Waste Industry: Criminality and Regulation - Hansard,"1 Feb 2022 - They are hardened criminals at the heart of the criminal underworld. He mentioned Niramax, which we have already heard about. The majority ...",2022-02-01,"['02aea6fa-8eac-44c2-8e75-befb762f93cc', 'bd039be2-149a-407f-b930-5fdc54021b86']",Label: 1,2022.0,2.0,1.0
33,No charges after five-year tax investigation into Hartlepool ...,"16 Apr 2021 - Niramax, based in Thomlinson Road, on the Longhill Industrial Estate, declined to comment when approached by the Hartlepool Mail on Friday.",2021-04-16,"['c6fd13f7-09fc-437e-a18c-2f28f6f7ba94', 'de4c564e-578c-43b7-a04c-b8757bcce404']",Label: 0,2021.0,4.0,16.0
34,No charges after five-year tax investigation into Hartlepool ...,"16 Apr 2021 - Niramax, based in Thomlinson Road, on the Longhill Industrial Estate, declined to comment when approached by the Hartlepool Mail on Friday.",2021-04-16,"['c6fd13f7-09fc-437e-a18c-2f28f6f7ba94', 'de4c564e-578c-43b7-a04c-b8757bcce404']",Label: 0,2021.0,4.0,16.0
35,The multi-million pound cost of failed Niramax tax fraud ...,,2021-10-21,"['7b5ed7ed-4fd7-46c8-af5b-0c744d525244', '3bf4c0b3-6b93-4207-8bdc-409ae450e2fd']","I'm sorry, but you didn't include a label for the last example. Please provide a valid label so I can classify it.",2021.0,10.0,21.0
36,The multi-million pound cost of failed Niramax tax fraud ...,,2021-10-21,"['7b5ed7ed-4fd7-46c8-af5b-0c744d525244', '3bf4c0b3-6b93-4207-8bdc-409ae450e2fd']",1,2021.0,10.0,21.0
37,Zurich loses appeal over Niramax fire payout,,2021-04-26,"['1913aec6-beab-4b03-960b-20f67b0dfc8a', '1ff80df1-1046-494c-b53b-7f9490f6e82e']",0,2021.0,4.0,26.0
38,Zurich loses appeal over Niramax fire payout,,2021-04-26,"['1913aec6-beab-4b03-960b-20f67b0dfc8a', '1ff80df1-1046-494c-b53b-7f9490f6e82e']",Label: 0,2021.0,4.0,26.0
39,Avoidance for Material Non-Diclosure: Niramax Group ...,"18 May 2020 - Niramax made a claim under the Policy which, at trial, was valued at around £4.5 million. The majority of this claim related to the loss of the ...",2020-05-18,"['93fa0ad7-cc2c-4783-af31-f23808401fe4', 'bd903244-1e1a-4ba9-acb2-06f164c22265']",Label: 0,2020.0,5.0,18.0
40,Avoidance for Material Non-Diclosure: Niramax Group ...,"18 May 2020 - Niramax made a claim under the Policy which, at trial, was valued at around £4.5 million. The majority of this claim related to the loss of the ...",2020-05-18,"['93fa0ad7-cc2c-4783-af31-f23808401fe4', 'bd903244-1e1a-4ba9-acb2-06f164c22265']",0,2020.0,5.0,18.0
41,Professions and Financial Lines Brief: latest decisions July ...,30 Jun 2021 - Niramax held buildings cover with Millennium Insurance (Millennium). ... as well as allegations of fraudulent and wrongful trading by ...,2021-06-30,"['63f8d621-5072-4117-9279-bc3ff9b6315d', '003f959e-f9a2-49af-9ee6-38e16bdc6626']",1,2021.0,6.0,30.0
42,Q. Niramax: Landfill Tax,"7 Jun 2021 - ... Food and Rural Affairs, whether the Environment Agency concluded its investigation into Niramax on the potential systematic abuse of the ...",2021-06-07,"['66d2a226-3fd5-4289-b423-9ed3203ff9cf', 'a6fa8c3e-2ae7-4d1a-884a-e5fdfdfa1fcb']",Label: 1,2021.0,6.0,7.0
43,Q. Niramax: Landfill Tax,"7 Jun 2021 - ... Food and Rural Affairs, whether the Environment Agency concluded its investigation into Niramax on the potential systematic abuse of the ...",2021-06-07,"['66d2a226-3fd5-4289-b423-9ed3203ff9cf', 'a6fa8c3e-2ae7-4d1a-884a-e5fdfdfa1fcb']",Label: 1,2021.0,6.0,7.0
44,Killer Niramax boss Neil Elliott terminated from director ...,"6 Apr 2020 - Neil Elliott, 44, who was a director of Niramax, was sentenced to 15 years in prison last month after being found guilty of the manslaughter ...",2020-04-06,"['bfc85e82-e650-4483-82c4-53326db6289d', 'b51eeab3-16a1-400d-8ac2-38f10c374278']",1,2020.0,4.0,6.0
45,Killer Niramax boss Neil Elliott terminated from director ...,"6 Apr 2020 - Neil Elliott, 44, who was a director of Niramax, was sentenced to 15 years in prison last month after being found guilty of the manslaughter ...",2020-04-06,"['bfc85e82-e650-4483-82c4-53326db6289d', 'b51eeab3-16a1-400d-8ac2-38f10c374278']",Label: 1,2020.0,4.0,6.0
46,"Niramax - Written questions, answers and statements",7 Jun 2021 - The investigation into Niramax and abuse of the landfill tax system was conducted by HM Revenue & Customs. The Environment Agency and the ...,2021-06-07,"['de57eaa0-44a9-4476-8033-d79e1109e61e', 'beebc518-dd12-4c32-94c8-304d88203878']",1,2021.0,6.0,7.0
47,"Niramax - Written questions, answers and statements",7 Jun 2021 - The investigation into Niramax and abuse of the landfill tax system was conducted by HM Revenue & Customs. The Environment Agency and the ...,2021-06-07,"['de57eaa0-44a9-4476-8033-d79e1109e61e', 'beebc518-dd12-4c32-94c8-304d88203878']",Label: 1,2021.0,6.0,7.0
48,Businessman jailed over death of drug addict he thought had ...,"Elliott, the 44-year-old owner of the Niramax recycling firm and who lived ... Shop fitter jailed for multi-million-pound tax evasion over five-year period ...",2020-03-05,"['24cbcf43-db5a-474b-9432-6ca9a589c042', '0f80a4cd-4562-432a-88d2-a1103517f622']",Label: 1,2020.0,3.0,5.0
49,Businessman jailed over death of drug addict he thought had ...,"Elliott, the 44-year-old owner of the Niramax recycling firm and who lived ... Shop fitter jailed for multi-million-pound tax evasion over five-year period ...",2020-03-05,"['24cbcf43-db5a-474b-9432-6ca9a589c042', '0f80a4cd-4562-432a-88d2-a1103517f622']",Label: 1,2020.0,3.0,5.0
50,NIRAMAX RUBBER PRODUCTS LIMITED overview - Find and ...,"NIRAMAX RUBBER PRODUCTS LIMITED - Free company information from Companies House including registered office address, filing history, accounts, annual return ...",,['c7d6ecef-46be-4a22-9ced-7b3ed2293534'],Label: 0,,,
51,Exhibition captures images of iconic musicians from Top ...,30 Aug 2015 - The Hartlepool Art Gallery exhibition programme is sponsored by local company Niramax Total Waste Solutions.,2015-08-30,"['546874cc-a353-4189-8bcb-ca28f8673660', 'bac36c3a-852b-48f4-804e-5eedc9239e05']",0,2015.0,8.0,30.0
52,Exhibition captures images of iconic musicians from Top ...,30 Aug 2015 - The Hartlepool Art Gallery exhibition programme is sponsored by local company Niramax Total Waste Solutions.,2015-08-30,"['546874cc-a353-4189-8bcb-ca28f8673660', 'bac36c3a-852b-48f4-804e-5eedc9239e05']",0,2015.0,8.0,30.0
53,Benjamin Armitage - Butterwick Hospice Care,"Jumping Out Of A Plane for Butterwick Children's Hospice with Niramax ... Once you donate, they'll send your money directly to the charity and make sure ...",,"['d93c593f-cba9-42d1-83ad-b9453a600679', '022c6d7a-ea3d-4ca1-888d-8640b5f5a2d1']",Label: 0,,,
54,Benjamin Armitage - Butterwick Hospice Care,"Jumping Out Of A Plane for Butterwick Children's Hospice with Niramax ... Once you donate, they'll send your money directly to the charity and make sure ...",,"['d93c593f-cba9-42d1-83ad-b9453a600679', '022c6d7a-ea3d-4ca1-888d-8640b5f5a2d1']",Label: 0,,,
55,Still no news on the raid of Niramax in 2015. 5 ...,In the end it was the killing of an innocent man that brought Neil Elliott down but Niramax is still in business and still paying him dividends.,,"['8e0dc093-0ab1-47c2-9f14-8e9192fa1641', 'a373632e-1759-48c5-a771-c1a7da865440']",Label: 1,,,
56,Still no news on the raid of Niramax in 2015. 5 ...,In the end it was the killing of an innocent man that brought Neil Elliott down but Niramax is still in business and still paying him dividends.,,"['8e0dc093-0ab1-47c2-9f14-8e9192fa1641', 'a373632e-1759-48c5-a771-c1a7da865440']",Label: 1,,,
57,North Yorkshire seeks waste assurances from Niramax,5 Oct 2015 - North Yorkshire suspends waste deliveries to Niramax Group in Hartlepool as HMRC investigation into landfill tax fraud continues.,2015-10-05,"['85dd7e75-5f43-4b98-8034-44da230357e4', '97819787-8fb9-4505-a71c-c29154d8cbfc']",1.,2015.0,10.0,5.0
58,North Yorkshire seeks waste assurances from Niramax,5 Oct 2015 - North Yorkshire suspends waste deliveries to Niramax Group in Hartlepool as HMRC investigation into landfill tax fraud continues.,2015-10-05,"['85dd7e75-5f43-4b98-8034-44da230357e4', '97819787-8fb9-4505-a71c-c29154d8cbfc']",1,2015.0,10.0,5.0
59,Niramax pleads guilty to permit breach,19 Jan 2018 - Hartlepool-based Niramax Group has been fined for breaching environmental laws leading to a fly infestation which affected the local community.,2018-01-19,"['a07fb4ee-3e51-4111-8660-6e45e379b931', '9e88741d-a70a-4b78-91fc-c8d67aa5a7c5']",1,2018.0,1.0,19.0
60,Niramax pleads guilty to permit breach,19 Jan 2018 - Hartlepool-based Niramax Group has been fined for breaching environmental laws leading to a fly infestation which affected the local community.,2018-01-19,"['a07fb4ee-3e51-4111-8660-6e45e379b931', '9e88741d-a70a-4b78-91fc-c8d67aa5a7c5']",Label: 1,2018.0,1.0,19.0
61,Landfill Tax Fraud,12 Jan 2023 - Operation Nosedive was a complete failure and Niramax got away with the fraud-and that £78 million is just one organisation.,2023-01-12,"['59935148-50b3-4c9c-a1aa-8b7d1c605b41', '2a42a737-28ec-41b7-ae8b-1c7f96adf1d9']",Label: 1,2023.0,1.0,12.0
62,Landfill Tax Fraud,12 Jan 2023 - Operation Nosedive was a complete failure and Niramax got away with the fraud-and that £78 million is just one organisation.,2023-01-12,"['59935148-50b3-4c9c-a1aa-8b7d1c605b41', '2a42a737-28ec-41b7-ae8b-1c7f96adf1d9']",1,2023.0,1.0,12.0
63,Businessman jailed over death of drug addict he thought had ...,"Elliott, the 44-year-old owner of the Niramax recycling firm and who lived in a Hartlepool seven-bedroom mansion with swimming pool and stables, ...",2020-03-05,"['81fee9d2-eadb-43de-9299-5b0d1d7743c0', '9783fcd3-6a87-4dbe-b0d8-ddf8574115f2']",Label: 1,2020.0,3.0,5.0
64,Businessman jailed over death of drug addict he thought had ...,"Elliott, the 44-year-old owner of the Niramax recycling firm and who lived in a Hartlepool seven-bedroom mansion with swimming pool and stables, ...",2020-03-05,"['81fee9d2-eadb-43de-9299-5b0d1d7743c0', '9783fcd3-6a87-4dbe-b0d8-ddf8574115f2']",1,2020.0,3.0,5.0
65,Waste management firm fined for fly infestation and ...,"15 Jan 2018 - Lee Fish, prosecuting, said the offences had been committed out of negligence. Niramax waste site in Washington (Image: Newcastle Chronicle).",2018-01-15,"['028d5410-13c7-4639-8166-2129455c90ce', '9bfd3913-d598-484b-a47f-ffe4626ca481']",1,2018.0,1.0,15.0
66,Waste management firm fined for fly infestation and ...,"15 Jan 2018 - Lee Fish, prosecuting, said the offences had been committed out of negligence. Niramax waste site in Washington (Image: Newcastle Chronicle).",2018-01-15,"['028d5410-13c7-4639-8166-2129455c90ce', '9bfd3913-d598-484b-a47f-ffe4626ca481']",1,2018.0,1.0,15.0
67,NIRAMAX GROUP LIMITED overview - Companies House,"NIRAMAX GROUP LIMITED - Free company information from Companies House including registered office address, filing history, accounts, annual return, ...",,['c6d27dd5-47da-45fb-afd7-215fb58a39cb'],0,,,
68,Businessman jailed over death of drug addict he thought had ...,"Elliott, the 44-year-old owner of the Niramax recycling firm and who lived in a Hartlepool seven-bedroom mansion with swimming pool and stables, ...",2020-03-05,"['d3cb32a8-ed70-42fd-a244-d75b1bd11ede', 'dc5c493e-cccc-45de-b1a8-6521690aa039']",Label: 1,2020.0,3.0,5.0
69,Businessman jailed over death of drug addict he thought had ...,"Elliott, the 44-year-old owner of the Niramax recycling firm and who lived in a Hartlepool seven-bedroom mansion with swimming pool and stables, ...",2020-03-05,"['d3cb32a8-ed70-42fd-a244-d75b1bd11ede', 'dc5c493e-cccc-45de-b1a8-6521690aa039']",1,2020.0,3.0,5.0
70,Investigation into £78m landfill tax fraud collapses with no ...,"21 Apr 2021 - An investigation into an alleged £78m landfill tax fraud, which led to 14 arrests, ... Niramax refused to comment when contacted by ENDS.",2021-04-21,"['8f33876e-7db4-4407-9976-296786bc100a', '13d6057b-662b-4f2b-846f-948439f17d3d']",Label: 1,2021.0,4.0,21.0
71,Investigation into £78m landfill tax fraud collapses with no ...,"21 Apr 2021 - An investigation into an alleged £78m landfill tax fraud, which led to 14 arrests, ... Niramax refused to comment when contacted by ENDS.",2021-04-21,"['8f33876e-7db4-4407-9976-296786bc100a', '13d6057b-662b-4f2b-846f-948439f17d3d']",Label: 1,2021.0,4.0,21.0
72,"Killer Neil Elliott's role at Niramax, the waste firm where he ...",5 Apr 2020 - Neil Elliott was boss of Niramax in Hartlepool when he killed ... of a drug addict has had his role as a director of his company terminated.,2020-04-05,"['64046462-d978-4e84-a8ee-c58be822c865', '0915cf44-2403-48ab-991b-f59ba857b05d']",Label: 1,2020.0,4.0,5.0
73,"Killer Neil Elliott's role at Niramax, the waste firm where he ...",5 Apr 2020 - Neil Elliott was boss of Niramax in Hartlepool when he killed ... of a drug addict has had his role as a director of his company terminated.,2020-04-05,"['64046462-d978-4e84-a8ee-c58be822c865', '0915cf44-2403-48ab-991b-f59ba857b05d']",Label: 1,2020.0,4.0,5.0
74,Who is Neil Elliott? Niramax boss found guilty of the ...,,2020-03-03,"['832eb3f5-df0c-4bf8-b43e-1b50164255af', 'b7e23cfb-dd5e-4933-bde3-0cf7b239785b']",It is not possible to generate a label for the real example provided as there is no snippet or context given.,2020.0,3.0,3.0
75,Who is Neil Elliott? Niramax boss found guilty of the ...,,2020-03-03,"['832eb3f5-df0c-4bf8-b43e-1b50164255af', 'b7e23cfb-dd5e-4933-bde3-0cf7b239785b']",Unable to provide a label without a snippet. Please provide a snippet for the real example.,2020.0,3.0,3.0
76,Tax fraud probe into waste firm formerly run by killer Neil ...,"16 Apr 2021 - Last year, Niramax - the waste management firm formerly run by killer Neil Elliott - revealed a rise in annual profits. The Hartlepool firm ...",2021-04-16,"['c813a65d-79cc-4f28-be73-3d21a35461c7', '8079697f-4aa9-4df2-a749-2d5fec8a719a']",Label: 1,2021.0,4.0,16.0
77,Tax fraud probe into waste firm formerly run by killer Neil ...,"16 Apr 2021 - Last year, Niramax - the waste management firm formerly run by killer Neil Elliott - revealed a rise in annual profits. The Hartlepool firm ...",2021-04-16,"['c813a65d-79cc-4f28-be73-3d21a35461c7', '8079697f-4aa9-4df2-a749-2d5fec8a719a']",Label: 1,2021.0,4.0,16.0
78,Businessman jailed over death of drug addict he thought had ...,"Elliott, the 44-year-old owner of the Niramax recycling firm and who lived in a Hartlepool seven-bedroom mansion with swimming pool and stables, ...",2020-03-05,"['64c7503a-1342-4879-8621-da8591e03b99', '23ed80e7-a716-4d17-bbd2-8c36e3e82e50']",Label: 1,2020.0,3.0,5.0
79,Businessman jailed over death of drug addict he thought had ...,"Elliott, the 44-year-old owner of the Niramax recycling firm and who lived in a Hartlepool seven-bedroom mansion with swimming pool and stables, ...",2020-03-05,"['64c7503a-1342-4879-8621-da8591e03b99', '23ed80e7-a716-4d17-bbd2-8c36e3e82e50']",Label: 1,2020.0,3.0,5.0
80,Michael Phillips murder trial: Neil Elliott - The Hartlepool ...,"10 Mar 2020 - Neil Elliott, the boss of Niramax, has been convicted of the manslaughter of ... SWS Ltd, previously known as Stranton Waste and Salvage, ...",2020-03-10,"['30555369-6ed4-4be2-93af-56b70d29fa44', '1699b25f-f84e-477e-90f6-da3d44e6533d']",Label: 1,2020.0,3.0,10.0
81,Michael Phillips murder trial: Neil Elliott - The Hartlepool ...,"10 Mar 2020 - Neil Elliott, the boss of Niramax, has been convicted of the manslaughter of ... SWS Ltd, previously known as Stranton Waste and Salvage, ...",2020-03-10,"['30555369-6ed4-4be2-93af-56b70d29fa44', '1699b25f-f84e-477e-90f6-da3d44e6533d']",Label: 1,2020.0,3.0,10.0
82,Businessman jailed over death of drug addict he thought had ...,"Elliott, the 44-year-old owner of the Niramax recycling firm and who lived in a ... Teacher shot by six-year-old pupil files multimillion-dollar lawsuit ...",2020-03-05,"['748edc29-2034-4f97-9d30-0be1d32236a8', 'e483b12f-5dd7-4d7a-bd82-80f9635350d8']",Label: 1,2020.0,3.0,5.0
83,Businessman jailed over death of drug addict he thought had ...,"Elliott, the 44-year-old owner of the Niramax recycling firm and who lived in a ... Teacher shot by six-year-old pupil files multimillion-dollar lawsuit ...",2020-03-05,"['748edc29-2034-4f97-9d30-0be1d32236a8', 'e483b12f-5dd7-4d7a-bd82-80f9635350d8']",Label: 1,2020.0,3.0,5.0
84,Professions and Financial Lines Brief: latest decisions July ...,"30 Jun 2021 - Material non-disclosure was not an ""efficient cause"" of different policy terms in Court of Appeal case. Zurich Insurance Plc V Niramax Group ...",2021-06-30,"['3396b43b-d942-40a0-bfcc-1426ef1389d6', 'e31cb499-840b-4fd7-88b3-ea235e54be6f']",1,2021.0,6.0,30.0
85,Professions and Financial Lines Brief: latest decisions July ...,"30 Jun 2021 - Material non-disclosure was not an ""efficient cause"" of different policy terms in Court of Appeal case. Zurich Insurance Plc V Niramax Group ...",2021-06-30,"['3396b43b-d942-40a0-bfcc-1426ef1389d6', 'e31cb499-840b-4fd7-88b3-ea235e54be6f']",0,2021.0,6.0,30.0
86,Michael Phillips murder: Chilling Facebook message ...,,2020-03-03,"['d394e17e-be5b-4aa8-919f-31c2fdaf64db', '966487ee-fcfd-457a-aefb-8ec37c128c53']",Unable to provide a label without a snippet. Please provide the full text snippet.,2020.0,3.0,3.0
